,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
250,16.2,-12.9,35.1,1343.8,100.0,197.4,10.8,,1018.4,0.0
251,15.9,-5.4,35.1,996.0,0.0,271.8,10.8,,1017.8,0.0
252,15.5,-4.9,33.9,1119.7,0.0,295.2,11.8,,1017.8,0.0
253,18.8,2.1,38.1,263.7,,292.5,9.8,,1015.6,0.0
254,17.7,-2.1,41.9,177.7,,215.7,11.7,,1015.7,0.0
255,13.6,-1.0,35.1,319.0,,273.8,6.9,,1017.3,0.0
256,12.3,-14.5,36.0,1218.9,410.0,295.7,9.2,,1016.8,0.0
257,23.4,1.9,45.3,239.7,,196.0,9.8,,1011.7,0.0
258,15.8,-1.4,34.1,154.9,,300.1,7.8,,1015.1,0.0
259,16.7,-2.7,42.8,306.8,0.0,217.4,9.9,,1015.5,0.0
260,24.8,6.7,34.4,971.7,0.0,79.2,12.8,,1018.0,0.0
261,14.1,-2.9,37.1,436.7,,251.0,12.7,,1015.8,0.0
262,17.2,2.3,36.1,84.7,,266.0,8.2,,1015.4,0.0
263,21.6,-1.0,46.2,54.0,0.0,237.0,14.3,,1015.1,0.0
264,14.3,-3.4,45.9,314.2,0.0,311.0,6.5,,1017.7,0.0
265,16.6,-6.6,37.8,1108.4,50.0,261.7,9.0,,1018.3,0.0
266,11.1,-6.6,39.5,1780.9,,345.1,9.5,,1018.4,0.0
267,17.6,-0.6,39.8,141.9,,233.6,8.0,,1015.1,0.0
268,21.6,-3.3,35.0,1223.7,,64.7,8.7,,1018.5,0.0
269,15.2,-8.2,35.8,818.6,,332.9,8.3,,1017.6,0.0
270,17.0,-4.3,34.0,1457.2,,323.7,9.8,,1018.8,0.0
271,10.3,-19.2,36.2,1031.7,330.0,304.5,9.4,,1015.8,0.0
272,25.8,18.4,34.4,700.9,,114.2,10.9,,1016.0,0.0
273,12.6,-21.1,35.6,1114.7,,207.4,15.8,,1017.5,0.0
274,15.6,-4.6,35.8,1104.1,50.0,264.6,13.3,,1017.9,0.0
275,14.8,0.1,35.7,304.8,,291.3,11.4,,1016.8,0.0
276,13.1,-22.1,37.2,1222.5,180.0,236.1,13.9,,1017.4,0.0
277,10.6,-23.0,70.0,388.6,279.0,289.3,11.5,,1018.6,0.0
278,13.2,-19.5,36.6,1005.0,,253.9,11.2,,1017.3,0.0
279,13.0,-9.1,37.9,954.2,,262.9,9.4,,1017.9,0.0
280,20.9,-8.8,36.1,1798.4,30.0,118.8,12.2,,1017.5,0.0
281,18.9,-15.3,40.8,297.9,130.0,158.7,17.3,,1014.6,0.0
282,18.3,-9.0,35.5,1407.0,,65.3,7.8,,1018.2,0.0
283,18.3,-3.2,34.8,1218.7,0.0,354.8,8.0,,1018.2,0.0
284,18.5,-3.9,44.3,34.6,,240.6,16.8,,1014.8,0.0
285,25.4,7.2,35.6,1211.4,0.0,99.9,14.6,,1017.4,0.0
286,18.7,-18.0,39.8,409.4,130.0,148.9,16.0,,1017.6,0.0
287,22.9,2.8,36.7,893.2,,79.5,10.1,,1018.3,0.0
288,21.5,-9.0,36.0,1616.4,30.0,38.1,8.5,,1017.5,0.0
289,11.3,-22.7,32.2,784.3,410.0,267.6,13.8,,1016.8,0.0
290,18.3,-3.2,34.8,1218.7,0.0,354.8,8.0,,1018.2,0.0
291,14.4,-22.6,36.8,1017.3,80.0,184.5,13.0,,1016.5,0.0
292,15.5,0.9,38.2,261.1,,319.4,9.6,,1016.9,0.0
293,18.8,1.2,40.6,256.6,,233.0,6.8,,1015.1,0.0
294,17.3,-1.9,39.2,194.7,,304.6,8.1,,1015.1,0.0
